"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.3-60.2","recommended","R (>= 4.4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"MatchIt","MatchIt","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.5.5",NA,"R (>= 3.5.0)","backports (>= 1.1.9), chk (>= 0.8.1), rlang (>= 1.1.0), Rcpp,
utils, stats, graphics","Rcpp, RcppProgress","optmatch (>= 0.10.6), Matching, rgenoud, quickmatch (>=
0.2.1), nnet, rpart, mgcv, CBPS (>= 0.17), dbarts, randomForest
(>= 4.7-1), glmnet (>= 4.0), gbm (>= 2.1.7), cobalt (>= 4.2.3),
boot, marginaleffects (>= 0.11.0), sandwich (>= 2.5-1),
survival, RcppProgress (>= 0.4.2), highs, Rglpk, Rsymphony,
gurobi, knitr, rmarkdown, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-0","recommended","R (>= 4.4.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.4.1"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 2.12.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"mice","mice","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.16.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, glmnet, graphics, grDevices, lattice,
methods, mitml, nnet, Rcpp, rpart, rlang, stats, tidyr, utils","cpp11, Rcpp","broom.mixed, future, furrr, haven, knitr, lme4, MASS,
miceadds, pan, parallelly, purrr, ranger, randomForest,
rmarkdown, rstan, survival, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"microbenchmark","microbenchmark","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.0",NA,"R (>= 3.2.0)","graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"mime","mime","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.4.0"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"missForest","missForest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5",NA,NA,"randomForest,foreach,itertools,iterators,doRNG",NA,"doParallel",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"mitml","mitml","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4-5",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, methods, utils",NA,"mice, miceadds, Amelia, lme4, nlme, lavaan, geepack, glmmTMB,
survival, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"mitools","mitools","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.4",NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"ModelMetrics","ModelMetrics","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"modelr","modelr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"munsell","munsell","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"mvtnorm","mvtnorm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-1",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"naniar","naniar","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.0",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), norm,
magrittr, stats, visdat, rlang (>= 1.1.0), forcats, viridis,
glue, UpSetR, cli, vctrs, lifecycle",NA,"knitr, rmarkdown, testthat (>= 3.0.0), rpart, rpart.plot,
covr, gridExtra, wakefield, vdiffr, here, simputation,
imputeTS, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"networkD3","networkD3","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4",NA,"R (>= 3.0.0)","htmlwidgets (>= 0.3.2), igraph, magrittr",NA,"htmltools (>= 0.2.6), jsonlite,","knitr, shiny","GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"nlme","nlme","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.1-164","recommended","R (>= 3.5.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS, SASmixed",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"nloptr","nloptr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"nnet","nnet","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","7.3-19","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"norm","norm","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-11.1",NA,NA,"stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"numDeriv","numDeriv","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"nycflights13","nycflights13","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.2",NA,"R (>= 3.2)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","4.4.0"
"openssl","openssl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.2.1",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"openxlsx","openxlsx","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.2.7",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, stringi, utils, zip","Rcpp","curl, formula.tools, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"ordinal","ordinal","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2023.12-4.1",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv, nlme",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"osmdata","osmdata","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.5",NA,"R (>= 3.2.4)","curl, httr2, lubridate, magrittr, methods, Rcpp (>= 0.12.4),
reproj, rvest, tibble, utils, xml2","Rcpp","httptest2, jsonlite, knitr, markdown, raster, rmarkdown, sf,
sp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"packrat","packrat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.2",NA,"R (>= 3.0.0)","tools, utils",NA,"devtools, httr, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"pacman","pacman","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.1",NA,"R (>= 3.5.0)","remotes, methods, stats, utils",NA,"BiocManager, knitr, lattice, testthat (>= 0.9.0), XML",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"pagedown","pagedown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.20",NA,"R (>= 3.5.0)","rmarkdown (>= 2.13), bookdown (>= 0.8), htmltools, jsonlite,
later (>= 1.0.0), processx, servr (>= 0.23), httpuv, xfun,
websocket",NA,"promises, testit, xaringan, pdftools, revealjs, covr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pan","pan","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9",NA,"R (>= 2.10)",NA,NA,"mitools, lme4",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"pander","pander","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.5",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"parallel","parallel","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,"tools, compiler",NA,"methods","snow, Rmpi","Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"parallelly","parallelly","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.38.0",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.4.0"
"parameters","parameters","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.22.2",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), datawizard (>= 0.10.0), insight (>=
0.20.2), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom, cAIC4,
car, carData, cgam, ClassDiscovery, clubSandwich, cluster,
cobalt, coda, coxme, cplm, dbscan, domir (>= 0.2.0), drc, DRR,
effectsize (>= 0.8.6), EGAnet, emmeans (>= 1.7.0), epiR,
estimatr, factoextra, FactoMineR, faraway, fastICA, fixest,
fpc, gam, gamlss, gee, geepack, ggeffects (>= 1.3.2), ggplot2,
GLMMadaptive, glmmTMB, glmtoolbox, GPArotation, gt, haven,
httr2, Hmisc, ivreg, knitr, lavaan, lfe, lm.beta, lme4,
lmerTest, lmtest, logistf, logspline, lqmm, M3C,
marginaleffects (>= 0.20.1), MASS, Matrix, mclogit, mclust,
MCMCglmm, mediation, merDeriv, metaBMA, metafor, mfx, mgcv,
mice, mmrm, multcomp, MuMIn, NbClust, nFactors, nestedLogit,
nlme, nnet, openxlsx, ordinal, panelr, pbkrtest, PCDimension,
performance (>= 0.12.0), plm, PMCMRplus, poorman, posterior,
PROreg (>= 1.3.0), pscl, psych, pvclust, quantreg,
randomForest, RcppEigen, rmarkdown, rms, rstanarm, sandwich,
see (>= 0.8.1), serp, sparsepca, survey, survival, svylme,
testthat (>= 3.2.1), tidyselect, tinytable (>= 0.1.0), TMB,
truncreg, vdiffr, VGAM, WeightIt, withr, WRS2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"patchwork","patchwork","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics, rlang, cli",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pbkrtest","pbkrtest","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.3",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy",NA,"markdown, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"performance","performance","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.12.3",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), insight (>= 0.20.2), datawizard (>=
0.10.0), stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dagitty, dbscan, DHARMa, estimatr, fixest, flextable,
forecast, ftExtra, gamm4, ggdag, glmmTMB, graphics, Hmisc,
httr2, ICS, ICSOutlier, ISLR, ivreg, lavaan, lme4, lmtest, loo,
MASS, Matrix, mclogit, mclust, metadat, metafor, mgcv, mlogit,
multimode, nestedLogit, nlme, nonnest2, ordinal, parallel,
parameters (>= 0.21.6), patchwork, pscl, psych, quantreg,
qqplotr (>= 0.0.6), randomForest, RcppEigen, rempsyc,
rmarkdown, rstanarm, rstantools, sandwich, see (>= 0.8.2),
survey, survival, testthat (>= 3.2.1), tweedie, VGAM, withr (>=
3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"pillar","pillar","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pkgbuild","pkgbuild","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.4",NA,"R (>= 3.5)","callr (>= 3.2.0), cli (>= 3.4.0), desc, processx, R6",NA,"covr, cpp11, knitr, mockery, Rcpp, rmarkdown, testthat (>=
3.0.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pkgconfig","pkgconfig","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pkgdown","pkgdown","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.1.0",NA,"R (>= 3.6)","bslib (>= 0.5.1), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.0), digest, downlit (>= 0.4.4), fontawesome, fs (>= 1.4.0),
httr2 (>= 1.0.0), jsonlite, openssl, purrr (>= 1.0.0), ragg,
rlang (>= 1.1.0), rmarkdown (>= 2.27), tibble, whisker, withr
(>= 2.4.3), xml2 (>= 1.3.1), yaml",NA,"covr, diffviewer, evaluate (>= 0.24.0), gert, gt, htmltools,
htmlwidgets, knitr, lifecycle, magick, methods, pkgload (>=
1.0.2), quarto, rsconnect, rstudioapi, rticles, sass, testthat
(>= 3.1.3), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pkgload","pkgload","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.0",NA,"R (>= 3.4.0)","cli (>= 3.3.0), desc, fs, glue, lifecycle, methods, pkgbuild,
processx, rlang (>= 1.1.1), rprojroot, utils, withr (>= 2.4.3)",NA,"bitops, jsonlite, mathjaxr, pak, Rcpp, remotes, rstudioapi,
testthat (>= 3.2.1.1), usethis",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"PKI","PKI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-14",NA,"R (>= 2.9.0), base64enc",NA,NA,NA,"gmp","GPL-2 | GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"plogr","plogr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"plotly","plotly","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.10.4",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, ggalluvial, testthat,
knitr, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
Cairo, broom, webshot, listviewer, dendextend, sf, png,
IRdisplay, processx, plotlyGeoAssets, forcats, withr,
palmerpenguins, rversions, reticulate, rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pls","pls","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.8-4",NA,"R (>= 3.5.0)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"plyr","plyr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8.9",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"png","png","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"posterior","posterior","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.0",NA,"R (>= 3.2.0)","methods, abind, checkmate, rlang (>= 1.0.6), stats, tibble (>=
3.1.0), vctrs (>= 0.5.0), tensorA, pillar, distributional,
parallel, matrixStats",NA,"testthat (>= 2.1.0), caret (>= 6.0-84), gbm (>= 2.1.8),
randomForest (>= 4.6.14), e1071 (>= 1.7-3), dplyr, tidyr,
knitr, ggplot2, ggdist, rmarkdown",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"praise","praise","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"prediction","prediction","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.18",NA,"R (>= 3.5.0)","utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, biglm, brglm, caret, crch, e1071, earth,
ff, gam (>= 1.15), gee, glmnet, glmx, kernlab, lme4, MASS,
mclogit, mda, mlogit, MNP, nlme, nnet, ordinal, plm, pscl,
quantreg, rpart, sampleSelection, speedglm, survey (>= 3.31-5),
survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"prettyunits","prettyunits","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.0",NA,"R(>= 2.10)",NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"printr","printr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3",NA,NA,"knitr (>= 1.31)",NA,"tools, rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"prismatic","prismatic","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.2",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, cli, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"pROC","pROC","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.18.5",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2, rlang",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.0"
"processx","processx","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.8.4",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.3), cli (>= 3.3.0), codetools, covr, curl,
debugme, parallel, rlang (>= 1.0.2), testthat (>= 3.0.0),
webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"prodlim","prodlim","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2024.06.25",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, data.table, grDevices, graphics,
diagram, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"profvis","profvis","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.8",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), purrr, rlang (>= 0.4.9), stringr,
vctrs",NA,"knitr, ggplot2, rmarkdown, testthat (>= 3.0.0), devtools,
shiny, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"progress","progress","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.3",NA,"R (>= 3.6)","crayon, hms, prettyunits, R6",NA,"Rcpp, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"progressr","progressr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.14.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, cli, crayon, pbmcapply, progress,
purrr, foreach, plyr, doFuture, future, future.apply, furrr,
RPushbullet, rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"PROJ","PROJ","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.0",NA,"R (>= 3.0.2)","lifecycle, wk","wk","testthat (>= 3.0.0), spelling, knitr, rmarkdown, sf",NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"proj4","proj4","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0-14",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"promises","promises","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.0",NA,NA,"fastmap (>= 1.1.0), later, magrittr (>= 1.5), R6, Rcpp, rlang,
stats","later, Rcpp","future (>= 1.21.0), knitr, purrr, rmarkdown, spelling,
testthat, vembedr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"prophet","prophet","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), rlang (>= 0.3.0.1)","dplyr (>= 0.7.7), dygraphs (>= 1.1.1.4), extraDistr, ggplot2,
grid, lubridate, methods, RcppParallel (>= 5.0.1), rstan (>=
2.18.1), rstantools (>= 2.0.0), scales, StanHeaders, stats,
tidyr (>= 0.6.1), xts","BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppParallel (>= 5.0.1),
RcppEigen (>= 0.3.3.3.0), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)","knitr, testthat, readr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"proxy","proxy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4-27",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"pryr","pryr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.6",NA,"R (>= 3.1.0)","codetools, lobstr, methods, Rcpp (>= 0.11.0), stringr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"ps","ps","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7.7",NA,"R (>= 3.4)","utils",NA,"callr, covr, curl, pillar, pingr, processx (>= 3.1.0), R6,
rlang, testthat (>= 3.0.0), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"purrr","purrr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.2",NA,"R (>= 3.5.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), magrittr (>= 1.5.0),
rlang (>= 1.1.1), vctrs (>= 0.6.3)","cli","covr, dplyr (>= 0.7.8), httr, knitr, lubridate, rmarkdown,
testthat (>= 3.0.0), tibble, tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"quadprog","quadprog","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"quantmod","quantmod","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.26",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl, jsonlite(>= 1.1)",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
